signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,potentialLoss
SXPUSDT:LONG:0.5733,"04/22/2023, 11:45:33 PM","04/22/2023, 11:51:00 PM",SXPUSDT,Binance Futures,LONG,10,0,0,0,0,0,100,0,0,0,0,closed,0.591,0.586,0.582,0.577,0.616,0.631,0.649,0.684,0.723,0.758,0.8,0.829,0.573,43.014,68.078,98.222,158.51,223.709,283.827,354.107,404.234,-29.128
COCOSUSDT:LONG:1.682,"04/23/2023, 08:00:12 AM","04/23/2023, 05:43:00 PM",COCOSUSDT,Binance Futures,LONG,10,1.713,0,4,0,-18.313,100,100,-18.313,0,-18.313,closed,1.733,1.72,1.707,1.694,1.807,1.85,1.903,2.007,2.12,2.224,2.346,2.433,1.682,42.701,67.513,98.096,158.107,223.312,283.324,353.722,403.924,-29.429
LPTUSDT:SHORT:5.8,"04/23/2023, 06:00:24 PM","04/25/2023, 11:53:00 PM",LPTUSDT,Binance Futures,SHORT,10,5.699,0,4,1,26.595,100,100,26.595,0,26.595,closed,5.638,5.679,5.72,5.761,5.396,5.255,5.087,4.749,4.384,4.047,3.653,3.372,5.8,42.923,67.932,97.73,157.68,222.419,282.192,352.075,401.916,-28.734
NEOUSDT:SHORT:11.56,"04/23/2023, 07:00:20 PM","04/26/2023, 02:18:00 PM",NEOUSDT,Binance Futures,SHORT,10,11.277,0,2,2,30.355,100,50,15.178,0,15.178,closed,11.236,11.318,11.4,11.482,10.753,10.473,10.137,9.465,8.737,8.065,7.281,6.721,11.56,42.987,67.907,97.811,157.618,222.41,282.218,351.994,401.833,-28.836
INJUSDT:LONG:6.71,"04/23/2023, 10:00:04 PM","04/24/2023, 06:11:00 AM",INJUSDT,Binance Futures,LONG,10,6.834,0,4,0,-18.148,100,100,-18.148,0,-18.148,closed,6.911,6.86,6.809,6.758,7.209,7.382,7.59,8.006,8.457,8.872,9.358,9.704,6.71,43.12,68.152,98.249,158.443,223.701,283.751,354.073,404.138,-29.084
C98USDT:SHORT:0.2403,"04/28/2023, 02:00:15 PM","04/29/2023, 04:26:00 PM",C98USDT,Binance Futures,SHORT,10,0.236,0,4,0,-17.64,100,100,-17.64,0,-17.64,closed,0.234,0.235,0.237,0.239,0.224,0.218,0.211,0.197,0.182,0.168,0.151,0.14,0.24,43.236,68.065,98.031,157.534,222.603,282.534,352.312,401.969,-28.682
DUSKUSDT:SHORT:0.16935,"04/28/2023, 03:00:24 PM","04/29/2023, 03:38:00 PM",DUSKUSDT,Binance Futures,SHORT,10,0.166,0,4,0,-17.825,100,100,-17.825,0,-17.825,closed,0.165,0.166,0.167,0.168,0.158,0.153,0.149,0.139,0.128,0.118,0.107,0.098,0.169,42.894,67.805,97.697,157.543,222.371,282.156,351.965,401.847,-28.92
JOEUSDT:SHORT:0.5056,"04/28/2023, 04:00:06 PM","06/14/2023, 10:57:00 PM",JOEUSDT,Binance Futures,SHORT,10,0.497,0,4,8,126.189,100,100,126.189,0,126.189,closed,0.492,0.495,0.499,0.502,0.47,0.458,0.443,0.414,0.382,0.353,0.319,0.294,0.506,42.93,67.955,97.864,157.681,222.38,282.197,351.984,401.831,-28.688
COCOSUSDT:LONG:1.84,"04/28/2023, 08:00:09 PM","04/29/2023, 03:11:00 AM",COCOSUSDT,Binance Futures,LONG,10,1.874,0,4,0,-18.075,100,100,-18.075,0,-18.075,closed,1.895,1.881,1.867,1.853,1.977,2.024,2.081,2.195,2.319,2.433,2.566,2.661,1.84,43.272,68.074,98.153,158.311,223.747,283.905,354.09,404.222,-29.024
COCOSUSDT:LONG:1.82,"04/29/2023, 02:00:17 AM","04/29/2023, 04:20:00 PM",COCOSUSDT,Bybit USDT,LONG,10,1.854,0,4,0,-18.269,100,100,-18.269,0,-18.269,closed,1.875,1.861,1.847,1.833,1.956,2.003,2.059,2.172,2.294,2.407,2.539,2.633,1.82,42.933,68,98.133,158.133,223.467,283.733,353.867,404,-29.333
