signalId,date open,date closed,coin,exchange,direction,leverage,avgEntryPrice,avgTpValue,maxReachedEntry,maxReachedTp,pnl,allocatedAmount,spentAmount,realizedProfit,unrealizedProfit,totalProfit,status,EP1,EP2,EP3,EP4,TP1,TP2,TP3,TP4,TP5,TP6,TP7,TP8,TP9,TP10,TP11,TP12,TP13,TP14,TP15,stopLoss,TP Pot. Profit 1,TP Pot. Profit 2,TP Pot. Profit 3,TP Pot. Profit 4,TP Pot. Profit 5,TP Pot. Profit 6,TP Pot. Profit 7,TP Pot. Profit 8,TP Pot. Profit 9,TP Pot. Profit 10,TP Pot. Profit 11,TP Pot. Profit 12,TP Pot. Profit 13,TP Pot. Profit 14,TP Pot. Profit 15,potentialLoss
0913,"02/24/2023, 09:58:49 AM","02/24/2023, 12:43:00 PM",ONT/USDT,,SHORT,10,0.262,0,1,1,0.573,100,25,0.143,0,0.143,closed,0.262,0.267,0.271,0.276,0.259,0.256,0.252,0.247,0.24,0.23,0.215,0.2,0.185,0.168,,,,,,0.289,11.45,22.901,38.168,57.252,83.969,122.137,179.389,236.641,293.893,358.779,,,,,,-103.053
0914,"02/25/2023, 10:48:32 AM","03/09/2023, 09:06:00 PM",CELO/USDT,,LONG,3,0.709,0,4,0,-56.795,100,100,-56.795,0,-56.795,closed,0.787,0.738,0.689,0.64,0.81,0.84,0.88,0.93,0.99,1.1,1.25,1.4,1.65,2,,,,,,0.575,8.767,20.203,35.451,54.511,77.382,119.314,176.493,233.672,328.971,462.389,,,,,,-80.813
0915,"02/27/2023, 09:18:04 AM","05/08/2023, 03:44:00 AM",MATIC/USDT,,LONG,3,1.146,0,4,0,-55.762,100,100,-55.762,0,-55.762,closed,1.258,1.187,1.116,1.045,1.3,1.35,1.41,1.49,1.6,1.75,2,2.4,2.85,3.3,3.9,,,,,0.933,10.016,21.94,36.248,55.326,81.558,117.329,176.948,272.337,379.65,486.963,630.048,,,,,-77.504
0916,"02/28/2023, 12:21:24 PM",,TRX/USDT,,LONG,3,0.063,0,4,6,77.153,100,100,36.026,41.127,77.153,open,0.069,0.065,0.061,0.056,0.071,0.074,0.076,0.079,0.083,0.088,0.095,0.11,0.13,0.15,0.18,,,,,0.051,8.646,17.723,28.53,41.499,58.79,80.403,110.663,175.504,261.96,348.415,478.098,,,,,-80.836
0917,"03/01/2023, 09:26:46 AM","03/10/2023, 10:41:00 AM",COTI/USDT,,LONG,3,0.081,0,4,0,-56.179,100,100,-56.179,0,-56.179,closed,0.089,0.084,0.079,0.074,0.092,0.095,0.099,0.105,0.113,0.125,0.145,0.18,0.23,0.28,0.335,,,,,0.066,8.427,20.225,33.708,53.933,80.899,121.348,188.764,306.742,475.281,643.82,829.213,,,,,-78.539
0918,"03/02/2023, 08:56:32 AM","03/02/2023, 02:23:00 PM",APE/USDT,,SHORT,10,4.98,0,1,1,0.402,100,25,0.1,0,0.1,closed,4.98,5.083,5.187,5.29,4.94,4.89,4.83,4.73,4.6,4.4,4.15,3.9,3.6,3.17,,,,,,5.495,8.032,18.072,30.12,50.201,76.305,116.466,166.667,216.867,277.108,363.454,,,,,,-103.414
0919,"03/03/2023, 01:42:51 PM","03/04/2023, 01:41:00 AM",SAND/USDT,,LONG,3,0,0,0,0,0,100,0,0,0,0,closed,0.557,NaN,NaN,,0.657,0.668,0.682,0.7,0.73,0.77,0.82,0.9,1.05,1.35,1.9,,,,,0.531,53.86,59.785,67.325,77.02,93.178,114.722,141.652,184.74,265.53,427.11,723.339,,,,,-14.004
0920,"03/04/2023, 11:37:57 AM","03/09/2023, 09:59:00 PM",EOS/USDT,,SHORT,10,1.295,0,1,8,130.193,100,25,32.548,0,32.548,closed,1.295,NaN,NaN,,1.28,1.26,1.24,1.21,1.18,1.14,1.09,1.04,0.98,0.87,,,,,,1.433,11.583,27.027,42.471,65.637,88.803,119.691,158.301,196.911,243.243,328.185,,,,,,-106.564
0921,"03/05/2023, 11:36:33 AM","03/10/2023, 11:38:00 AM",DYDX/USDT,,LONG,3,2.201,0,4,0,-53.304,100,100,-53.304,0,-53.304,closed,2.45,2.293,2.137,1.98,2.52,2.6,2.7,2.9,3.2,3.9,5,6.5,8.1,10.15,,,,,,1.81,8.571,18.367,30.612,55.102,91.837,177.551,312.245,495.918,691.837,942.857,,,,,,-78.367
0922,"03/06/2023, 04:02:23 PM","03/09/2023, 09:24:00 PM",FET/USDT,,LONG,3,0.387,0,4,0,-54.778,100,100,-54.778,0,-54.778,closed,0.425,0.401,0.376,0.352,0.435,0.45,0.47,0.49,0.52,0.57,0.65,0.8,1,1.21,,,,,,0.316,7.059,17.647,31.765,45.882,67.059,102.353,158.824,264.706,405.882,554.118,,,,,,-76.941
0923,"03/07/2023, 12:56:06 PM","06/10/2023, 06:26:00 AM",XLM/USDT,,LONG,3,0.08,0,2,5,20.473,100,50,10.237,-0,10.237,closed,0.083,0.077,0.072,0.067,0.085,0.088,0.092,0.097,0.11,0.13,0.155,0.19,0.24,0.3,,,,,,0.06,9.091,20,34.545,52.727,100,172.727,263.636,390.909,572.727,790.909,,,,,,-83.273
0924,"03/08/2023, 12:12:38 PM","03/24/2023, 12:48:00 PM",UNI/USDT,,LONG,3,5.834,0,4,1,2.074,100,100,2.074,0,2.074,closed,6.44,6.057,5.673,5.29,6.64,6.9,7.2,7.6,8.2,9.5,11.5,14,17.3,,,,,,,4.8,9.317,21.429,35.404,54.037,81.988,142.547,235.714,352.174,505.901,,,,,,,-76.398
0925,"03/09/2023, 12:21:17 PM","05/08/2023, 03:42:00 AM",THETA/USDT,,LONG,3,0.938,0,2,4,14.247,100,50,7.124,0,7.124,closed,0.97,0.908,0.847,0.785,1,1.04,1.09,1.15,1.25,1.4,1.6,1.9,2.3,2.79,,,,,,0.701,9.278,21.649,37.113,55.67,86.598,132.99,194.845,287.629,411.34,562.887,,,,,,-83.196
0926,"03/10/2023, 11:12:20 AM","03/18/2023, 12:16:00 AM",TOMO/USDT,,LONG,3,0.326,0,1,8,155.107,100,25,38.777,0,38.777,closed,0.326,0.306,0.287,0.267,0.335,0.35,0.37,0.4,0.44,0.48,0.53,0.59,0.68,0.8,1.3,,,,,0.239,8.282,22.086,40.491,68.098,104.908,141.718,187.73,242.945,325.767,436.196,896.319,,,,,-80.061
0927,"03/11/2023, 09:48:01 AM","05/06/2023, 03:17:00 PM",GALA/USDT,,LONG,3,0.032,0,1,6,25.41,100,25,6.353,0,6.353,closed,0.032,0.029,0.027,0.025,0.033,0.034,0.035,0.037,0.04,0.045,0.052,0.062,0.104,0.8,,,,,,0.023,7.571,17.035,31.23,50.158,78.549,125.868,192.114,286.751,684.227,7270.978,,,,,,-86.12
0928,"03/12/2023, 10:49:59 AM","03/19/2023, 05:34:00 PM",BTC/USDT,,LONG,10,20400,0,1,8,216.078,100,25,54.02,0,54.02,closed,20400,19933.333,19466.667,19000,20600,20900,21300,21800,22500,24000,25500,27900,,,,,,,,18200,9.804,24.51,44.118,68.627,102.941,176.471,250,367.647,,,,,,,,-107.843
0929,"03/13/2023, 10:28:06 AM","03/27/2023, 05:01:00 PM",CELO/USDT,,LONG,3,0.561,0,1,5,11.893,100,25,2.973,0,2.973,closed,0.561,0.526,0.49,0.455,0.576,0.592,0.61,0.64,0.68,0.75,0.85,1,1.25,1.6,2,,,,,0.407,8.021,16.578,26.203,42.246,63.636,101.07,154.545,234.759,368.449,555.615,769.519,,,,,-82.353
0931,"03/14/2023, 08:26:13 AM","03/14/2023, 08:13:00 PM",YFI/USDT,,LONG,3,9150,0,1,1,0.443,100,25,0.111,0,0.111,closed,9150,8346.667,7543.333,6740,9420,9750,10200,10700,11300,12000,13200,14500,16500,20000,25300,,,,,6739,8.852,19.672,34.426,50.82,70.492,93.443,132.787,175.41,240.984,355.738,529.508,,,,,-79.049
0932,"03/15/2023, 11:38:03 AM","04/21/2023, 09:04:00 PM",THETA/USDT,,LONG,3,1.004,0,3,3,9.023,100,75,6.768,0,6.768,closed,1.07,1.007,0.943,0.88,1.1,1.14,1.19,1.25,1.34,1.45,1.7,2,2.35,2.8,3.55,,,,,0.79,8.411,19.626,33.645,50.467,75.701,106.542,176.636,260.748,358.879,485.047,695.327,,,,,-78.505
0933,"03/16/2023, 06:46:47 PM","03/20/2023, 06:02:00 PM",ALGO/USDT,,LONG,3,0.21,0,1,2,1.429,100,25,0.357,0,0.357,closed,0.21,0.196,0.183,0.169,0.216,0.224,0.235,0.25,0.27,0.32,0.4,0.5,0.6,0.73,,,,,,0.151,8.571,20,35.714,57.143,85.714,157.143,271.429,414.286,557.143,742.857,,,,,,-84.286
